Series,Country,Rank,Year
"5.02 Tertiary education enrollment, gross %*",Barbados,57,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Barbados,15,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Barbados,15,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Barbados,36,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Barbados,45,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Barbados,54,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Barbados,41,2008-2009
5th pillar: Higher education and training,Barbados,29,2008-2009
"5.01 Secondary education enrollment, gross %*",Barbados,7,2007-2008
"5.02 Tertiary education enrollment, gross %*",Barbados,52,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Barbados,20,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Barbados,17,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Barbados,42,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Barbados,44,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Barbados,80,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Barbados,42,2007-2008
5th pillar: Higher education and training,Barbados,32,2007-2008
"5.01 Secondary education enrollment, gross %*",Belgium,1,2017-2018
"5.02 Tertiary education enrollment, gross %*",Belgium,23,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Belgium,15,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Belgium,7,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Belgium,5,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Belgium,37,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Belgium,8,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Belgium,16,2017-2018
5th pillar: Higher education and training,Belgium,11,2017-2018
"5.01 Secondary education enrollment, gross %*",Belgium,1,2016-2017
"5.02 Tertiary education enrollment, gross %*",Belgium,22,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Belgium,4,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Belgium,3,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Belgium,3,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Belgium,23,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Belgium,2,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Belgium,14,2016-2017
5th pillar: Higher education and training,Belgium,5,2016-2017
"5.01 Secondary education enrollment, gross %*",Belgium,19,2015-2016
"5.02 Tertiary education enrollment, gross %*",Belgium,25,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Belgium,5,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Belgium,3,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Belgium,2,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Belgium,25,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Belgium,3,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Belgium,11,2015-2016
5th pillar: Higher education and training,Belgium,5,2015-2016
"5.01 Secondary education enrollment, gross %*",Belgium,15,2014-2015
"5.02 Tertiary education enrollment, gross %*",Belgium,26,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Belgium,6,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Belgium,3,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Belgium,2,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Belgium,24,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Belgium,4,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Belgium,9,2014-2015
5th pillar: Higher education and training,Belgium,5,2014-2015
"5.01 Secondary education enrollment, gross %*",Belgium,11,2013-2014
"5.02 Tertiary education enrollment, gross %*",Belgium,22,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Belgium,7,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Belgium,3,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Belgium,2,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Belgium,26,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Belgium,5,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Belgium,19,2013-2014
5th pillar: Higher education and training,Belgium,5,2013-2014
"5.01 Secondary education enrollment, gross %*",Belgium,10,2012-2013
"5.02 Tertiary education enrollment, gross %*",Belgium,22,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Belgium,5,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Belgium,3,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Belgium,2,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Belgium,28,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Belgium,5,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Belgium,20,2012-2013
5th pillar: Higher education and training,Belgium,4,2012-2013
"5.01 Secondary education enrollment, gross %*",Belgium,12,2011-2012
"5.02 Tertiary education enrollment, gross %*",Belgium,28,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Belgium,6,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Belgium,2,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Belgium,1,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Belgium,20,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Belgium,6,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Belgium,13,2011-2012
5th pillar: Higher education and training,Belgium,5,2011-2012
"5.01 Secondary education enrollment, gross %*",Belgium,11,2010-2011
"5.02 Tertiary education enrollment, gross %*",Belgium,26,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Belgium,7,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Belgium,2,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Belgium,4,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Belgium,20,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Belgium,9,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Belgium,15,2010-2011
5th pillar: Higher education and training,Belgium,7,2010-2011
"5.01 Secondary education enrollment, gross %*",Belgium,11,2009-2010
"5.02 Tertiary education enrollment, gross %*",Belgium,24,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Belgium,7,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Belgium,4,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Belgium,7,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Belgium,24,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Belgium,10,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Belgium,13,2009-2010
5th pillar: Higher education and training,Belgium,8,2009-2010
"5.01 Secondary education enrollment, gross %*",Belgium,12,2008-2009
"5.02 Tertiary education enrollment, gross %*",Belgium,23,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Belgium,4,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Belgium,3,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Belgium,5,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Belgium,24,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Belgium,11,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Belgium,13,2008-2009
5th pillar: Higher education and training,Belgium,6,2008-2009
"5.01 Secondary education enrollment, gross %*",Belgium,11,2007-2008
"5.02 Tertiary education enrollment, gross %*",Belgium,21,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Belgium,5,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Belgium,2,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Belgium,2,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Belgium,25,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Belgium,8,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Belgium,12,2007-2008
5th pillar: Higher education and training,Belgium,11,2007-2008
"5.01 Secondary education enrollment, gross %*",Belize,,2017-2018
"5.02 Tertiary education enrollment, gross %*",Belize,,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Belize,,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Belize,,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Belize,,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Belize,,2017-2018
5th pillar: Higher education and training,Belize,,2017-2018
"5.01 Secondary education enrollment, gross %*",Belize,,2016-2017
"5.02 Tertiary education enrollment, gross %*",Belize,,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Belize,,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Belize,,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Belize,,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Belize,,2016-2017
5th pillar: Higher education and training,Belize,,2016-2017
"5.01 Secondary education enrollment, gross %*",Belize,,2015-2016
"5.02 Tertiary education enrollment, gross %*",Belize,,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Belize,,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Belize,,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Belize,,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Belize,,2015-2016
5th pillar: Higher education and training,Belize,,2015-2016
"5.01 Secondary education enrollment, gross %*",Belize,,2014-2015
"5.02 Tertiary education enrollment, gross %*",Belize,,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Belize,,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Belize,,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Belize,,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Belize,,2014-2015
5th pillar: Higher education and training,Belize,,2014-2015
"5.01 Secondary education enrollment, gross %*",Belize,,2013-2014
"5.02 Tertiary education enrollment, gross %*",Belize,,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Belize,,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Belize,,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Belize,,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Belize,,2013-2014
5th pillar: Higher education and training,Belize,,2013-2014
"5.01 Secondary education enrollment, gross %*",Belize,,2012-2013
"5.02 Tertiary education enrollment, gross %*",Belize,,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Belize,,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Belize,,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Belize,,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Belize,,2012-2013
5th pillar: Higher education and training,Belize,,2012-2013
"5.01 Secondary education enrollment, gross %*",Belize,96,2011-2012
"5.02 Tertiary education enrollment, gross %*",Belize,105,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Belize,126,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Belize,109,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Belize,120,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Belize,91,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Belize,136,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Belize,123,2011-2012
5th pillar: Higher education and training,Belize,112,2011-2012
"5.01 Secondary education enrollment, gross %*",Belize,,2010-2011
"5.02 Tertiary education enrollment, gross %*",Belize,,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Belize,,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Belize,,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Belize,,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Belize,,2010-2011
5th pillar: Higher education and training,Belize,,2010-2011
"5.01 Secondary education enrollment, gross %*",Belize,,2009-2010
"5.02 Tertiary education enrollment, gross %*",Belize,,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Belize,,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Belize,,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Belize,,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Belize,,2009-2010
5th pillar: Higher education and training,Belize,,2009-2010
"5.01 Secondary education enrollment, gross %*",Belize,,2008-2009
"5.02 Tertiary education enrollment, gross %*",Belize,,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Belize,,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Belize,,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Belize,,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Belize,,2008-2009
5th pillar: Higher education and training,Belize,,2008-2009
"5.01 Secondary education enrollment, gross %*",Belize,,2007-2008
"5.02 Tertiary education enrollment, gross %*",Belize,,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Belize,,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Belize,,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Belize,,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Belize,,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Belize,,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Belize,,2007-2008
5th pillar: Higher education and training,Belize,,2007-2008
"5.01 Secondary education enrollment, gross %*",Benin,111,2017-2018
"5.02 Tertiary education enrollment, gross %*",Benin,103,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Benin,126,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Benin,93,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Benin,73,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Benin,127,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Benin,58,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Benin,134,2017-2018
5th pillar: Higher education and training,Benin,114,2017-2018
"5.01 Secondary education enrollment, gross %*",Benin,114,2016-2017
"5.02 Tertiary education enrollment, gross %*",Benin,108,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Benin,131,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Benin,102,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Benin,103,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Benin,122,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Benin,65,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Benin,123,2016-2017
